[infer] serving ml/experiments/v31-terminal-credit/arms/anchor-only/checkpoint.pt (arc-entity-scorer-v2, obs_dim=3419, act_dim=104) on /dev/shm/arc-v31-development/anchor/infer-3342453.sock device=cuda window=2.0ms max_batch=512
[infer] reqs=123 rows=123 batches=62 avg_batch=2.0 batch_p50=2 batch_p95=3 batch_min=1 batch_max=3 forwards/s=12.4
[infer] reqs=528 rows=528 batches=247 avg_batch=2.1 batch_p50=2 batch_p95=3 batch_min=1 batch_max=4 forwards/s=49.4
[infer] reqs=548 rows=548 batches=246 avg_batch=2.2 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=49.2
[infer] reqs=572 rows=572 batches=245 avg_batch=2.3 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=49.0
[infer] reqs=524 rows=524 batches=242 avg_batch=2.2 batch_p50=2 batch_p95=3 batch_min=1 batch_max=4 forwards/s=48.4
[infer] reqs=573 rows=573 batches=239 avg_batch=2.4 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=47.8
[infer] reqs=560 rows=560 batches=241 avg_batch=2.3 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=48.2
[infer] reqs=545 rows=545 batches=244 avg_batch=2.2 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=48.8
[infer] reqs=615 rows=615 batches=246 avg_batch=2.5 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=49.2
[infer] reqs=576 rows=576 batches=248 avg_batch=2.3 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=49.6
[infer] reqs=618 rows=618 batches=250 avg_batch=2.5 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=50.0
[infer] reqs=569 rows=569 batches=251 avg_batch=2.3 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=50.2
[infer] reqs=623 rows=623 batches=250 avg_batch=2.5 batch_p50=3 batch_p95=4 batch_min=1 batch_max=4 forwards/s=50.0
[infer] reqs=593 rows=593 batches=249 avg_batch=2.4 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=49.8
[infer] reqs=624 rows=624 batches=248 avg_batch=2.5 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=49.6
[infer] reqs=617 rows=617 batches=240 avg_batch=2.6 batch_p50=3 batch_p95=4 batch_min=1 batch_max=4 forwards/s=48.0
[infer] reqs=648 rows=648 batches=242 avg_batch=2.7 batch_p50=3 batch_p95=4 batch_min=1 batch_max=4 forwards/s=48.4
[infer] reqs=650 rows=650 batches=244 avg_batch=2.7 batch_p50=3 batch_p95=4 batch_min=1 batch_max=4 forwards/s=48.8
