[infer] serving ml/experiments/v31-terminal-credit/arms/strategic-pg-0p1/checkpoint.pt (arc-entity-scorer-v2, obs_dim=3419, act_dim=104) on /dev/shm/arc-v31-development/strategic-pg-0p1/infer-3342457.sock device=cuda window=2.0ms max_batch=512
[infer] reqs=141 rows=141 batches=71 avg_batch=2.0 batch_p50=2 batch_p95=3 batch_min=1 batch_max=3 forwards/s=14.2
[infer] reqs=488 rows=488 batches=231 avg_batch=2.1 batch_p50=2 batch_p95=3 batch_min=1 batch_max=4 forwards/s=46.2
[infer] reqs=517 rows=517 batches=230 avg_batch=2.2 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=46.0
[infer] reqs=502 rows=502 batches=231 avg_batch=2.2 batch_p50=2 batch_p95=3 batch_min=1 batch_max=4 forwards/s=46.2
[infer] reqs=505 rows=505 batches=226 avg_batch=2.2 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=45.2
[infer] reqs=496 rows=496 batches=228 avg_batch=2.2 batch_p50=2 batch_p95=3 batch_min=1 batch_max=4 forwards/s=45.6
[infer] reqs=481 rows=481 batches=226 avg_batch=2.1 batch_p50=2 batch_p95=3 batch_min=1 batch_max=4 forwards/s=45.2
[infer] reqs=504 rows=504 batches=226 avg_batch=2.2 batch_p50=2 batch_p95=3 batch_min=1 batch_max=4 forwards/s=45.2
[infer] reqs=512 rows=512 batches=228 avg_batch=2.2 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=45.6
[infer] reqs=515 rows=515 batches=225 avg_batch=2.3 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=45.0
[infer] reqs=529 rows=529 batches=233 avg_batch=2.3 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=46.6
[infer] reqs=554 rows=554 batches=228 avg_batch=2.4 batch_p50=3 batch_p95=4 batch_min=1 batch_max=4 forwards/s=45.6
[infer] reqs=546 rows=546 batches=231 avg_batch=2.4 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=46.2
[infer] reqs=578 rows=578 batches=232 avg_batch=2.5 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=46.4
[infer] reqs=536 rows=536 batches=235 avg_batch=2.3 batch_p50=2 batch_p95=3 batch_min=1 batch_max=4 forwards/s=47.0
[infer] reqs=562 rows=562 batches=233 avg_batch=2.4 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=46.6
[infer] reqs=570 rows=570 batches=233 avg_batch=2.4 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=46.6
[infer] reqs=556 rows=556 batches=233 avg_batch=2.4 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=46.6
[infer] reqs=582 rows=582 batches=232 avg_batch=2.5 batch_p50=3 batch_p95=4 batch_min=1 batch_max=4 forwards/s=46.4
[infer] reqs=564 rows=564 batches=228 avg_batch=2.5 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=45.6
