[infer] serving ml/experiments/v30-strategic-tail-fidelity/artifacts/arms/strategic-cvar10-c025/checkpoint.pt (arc-entity-scorer-v2, obs_dim=3419, act_dim=104) on /dev/shm/arc-v31-development/v30/infer-3342450.sock device=cuda window=2.0ms max_batch=512
[infer] reqs=165 rows=165 batches=83 avg_batch=2.0 batch_p50=2 batch_p95=3 batch_min=1 batch_max=3 forwards/s=16.6
[infer] reqs=515 rows=515 batches=245 avg_batch=2.1 batch_p50=2 batch_p95=3 batch_min=1 batch_max=4 forwards/s=49.0
[infer] reqs=532 rows=532 batches=237 avg_batch=2.2 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=47.4
[infer] reqs=591 rows=591 batches=233 avg_batch=2.5 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=46.6
[infer] reqs=537 rows=537 batches=239 avg_batch=2.2 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=47.8
[infer] reqs=520 rows=520 batches=237 avg_batch=2.2 batch_p50=2 batch_p95=3 batch_min=1 batch_max=4 forwards/s=47.4
[infer] reqs=533 rows=533 batches=235 avg_batch=2.3 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=47.0
[infer] reqs=527 rows=527 batches=234 avg_batch=2.3 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=46.8
[infer] reqs=548 rows=548 batches=238 avg_batch=2.3 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=47.6
[infer] reqs=611 rows=611 batches=243 avg_batch=2.5 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=48.6
[infer] reqs=543 rows=543 batches=234 avg_batch=2.3 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=46.8
[infer] reqs=546 rows=546 batches=234 avg_batch=2.3 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=46.8
[infer] reqs=513 rows=513 batches=227 avg_batch=2.3 batch_p50=2 batch_p95=3 batch_min=1 batch_max=4 forwards/s=45.4
[infer] reqs=538 rows=538 batches=234 avg_batch=2.3 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=46.8
[infer] reqs=515 rows=515 batches=232 avg_batch=2.2 batch_p50=2 batch_p95=3 batch_min=1 batch_max=4 forwards/s=46.4
[infer] reqs=550 rows=550 batches=228 avg_batch=2.4 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=45.6
[infer] reqs=547 rows=547 batches=222 avg_batch=2.5 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=44.4
[infer] reqs=552 rows=552 batches=234 avg_batch=2.4 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=46.8
[infer] reqs=568 rows=568 batches=233 avg_batch=2.4 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=46.6
[infer] reqs=567 rows=567 batches=229 avg_batch=2.5 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=45.8
[infer] reqs=538 rows=538 batches=232 avg_batch=2.3 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=46.4
[infer] reqs=501 rows=501 batches=227 avg_batch=2.2 batch_p50=2 batch_p95=3 batch_min=1 batch_max=4 forwards/s=45.4
[infer] reqs=576 rows=576 batches=225 avg_batch=2.6 batch_p50=3 batch_p95=4 batch_min=1 batch_max=4 forwards/s=45.0
[infer] reqs=562 rows=562 batches=230 avg_batch=2.4 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=46.0
[infer] reqs=511 rows=511 batches=229 avg_batch=2.2 batch_p50=2 batch_p95=3 batch_min=1 batch_max=4 forwards/s=45.8
[infer] reqs=535 rows=535 batches=230 avg_batch=2.3 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=46.0
[infer] reqs=553 rows=553 batches=228 avg_batch=2.4 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=45.6
[infer] reqs=632 rows=632 batches=273 avg_batch=2.3 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=54.6
[infer] reqs=1195 rows=1195 batches=497 avg_batch=2.4 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=99.4
[infer] reqs=1281 rows=1281 batches=487 avg_batch=2.6 batch_p50=3 batch_p95=4 batch_min=1 batch_max=4 forwards/s=97.4
[infer] reqs=1369 rows=1369 batches=514 avg_batch=2.7 batch_p50=3 batch_p95=4 batch_min=1 batch_max=4 forwards/s=102.8
[infer] reqs=1289 rows=1289 batches=503 avg_batch=2.6 batch_p50=3 batch_p95=4 batch_min=1 batch_max=4 forwards/s=100.6
