[infer] serving /data/share8/michaelvuaprilexperimentation/arc-bot/ml/experiments/v30-strategic-tail-fidelity/artifacts/arms/strategic-cvar10-c025/checkpoint.pt (arc-entity-scorer-v2, obs_dim=3419, act_dim=104) on /dev/shm/arc-v32-critic/train.sock device=cuda window=2.0ms max_batch=512
[infer] reqs=2272 rows=2272 batches=192 avg_batch=11.8 batch_p50=12 batch_p95=21 batch_min=1 batch_max=24 forwards/s=38.4
[infer] reqs=6864 rows=6864 batches=578 avg_batch=11.9 batch_p50=12 batch_p95=17 batch_min=1 batch_max=23 forwards/s=115.6
[infer] reqs=7094 rows=7094 batches=589 avg_batch=12.0 batch_p50=12 batch_p95=16 batch_min=2 batch_max=21 forwards/s=117.8
[infer] reqs=7610 rows=7610 batches=613 avg_batch=12.4 batch_p50=12 batch_p95=17 batch_min=5 batch_max=19 forwards/s=122.6
[infer] reqs=7505 rows=7505 batches=606 avg_batch=12.4 batch_p50=12 batch_p95=17 batch_min=6 batch_max=20 forwards/s=121.2
[infer] reqs=7440 rows=7440 batches=599 avg_batch=12.4 batch_p50=13 batch_p95=17 batch_min=4 batch_max=20 forwards/s=119.8
[infer] reqs=7468 rows=7468 batches=599 avg_batch=12.5 batch_p50=13 batch_p95=17 batch_min=3 batch_max=20 forwards/s=119.8
[infer] reqs=7926 rows=7926 batches=622 avg_batch=12.7 batch_p50=13 batch_p95=17 batch_min=6 batch_max=19 forwards/s=124.4
[infer] reqs=7832 rows=7832 batches=626 avg_batch=12.5 batch_p50=13 batch_p95=17 batch_min=6 batch_max=19 forwards/s=125.2
[infer] reqs=7794 rows=7794 batches=624 avg_batch=12.5 batch_p50=13 batch_p95=17 batch_min=3 batch_max=19 forwards/s=124.8
[infer] reqs=7761 rows=7761 batches=617 avg_batch=12.6 batch_p50=13 batch_p95=17 batch_min=5 batch_max=19 forwards/s=123.4
[infer] reqs=7916 rows=7916 batches=626 avg_batch=12.6 batch_p50=13 batch_p95=17 batch_min=5 batch_max=21 forwards/s=125.2
