[infer] serving /data/share8/michaelvuaprilexperimentation/arc-bot/ml/experiments/v32-onpolicy-solo/shared-critic/checkpoint.pt (arc-entity-scorer-v2, obs_dim=3419, act_dim=104) on /dev/shm/arc-v33-search/systems-infer.sock device=cuda window=2.0ms max_batch=512
[infer] reqs=637 rows=637 batches=307 avg_batch=2.1 batch_p50=2 batch_p95=3 batch_min=1 batch_max=4 forwards/s=61.4
[infer] reqs=1314 rows=1314 batches=598 avg_batch=2.2 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=119.6
[infer] reqs=1391 rows=1391 batches=607 avg_batch=2.3 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=121.3
[infer] reqs=1083 rows=1083 batches=493 avg_batch=2.2 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=98.6
[infer] reqs=1177 rows=1177 batches=513 avg_batch=2.3 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=102.6
[infer] reqs=1087 rows=1087 batches=482 avg_batch=2.3 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=96.4
[infer] reqs=1130 rows=1130 batches=494 avg_batch=2.3 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=98.8
[infer] reqs=1078 rows=1078 batches=459 avg_batch=2.3 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=91.8
[infer] reqs=1120 rows=1120 batches=498 avg_batch=2.2 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=99.6
[infer] reqs=1087 rows=1087 batches=486 avg_batch=2.2 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=97.2
[infer] reqs=1158 rows=1158 batches=492 avg_batch=2.4 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=98.4
[infer] reqs=1078 rows=1078 batches=456 avg_batch=2.4 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=91.2
[infer] reqs=1069 rows=1069 batches=476 avg_batch=2.2 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=95.2
[infer] reqs=1090 rows=1090 batches=482 avg_batch=2.3 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=96.4
[infer] reqs=1125 rows=1125 batches=494 avg_batch=2.3 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=98.8
[infer] reqs=1161 rows=1161 batches=486 avg_batch=2.4 batch_p50=2 batch_p95=4 batch_min=1 batch_max=4 forwards/s=97.2
