path	mode	bytes	sha256
HEAD	444	29	fa23fc784d12bd5312ec5d3aa800deadb24880018b2e5ea86b563a9e427da327
config	444	92	3367fcf05553b6a84909c799d8d73756bf3752605518c7dea5464e4955bb2248
objects/00/cfc9b98cedcf12a176d6a9250e5c8cd8ea48a9	444	181	9efb162db4d82f639397d5a40b6d240d10a4e0e7d5fac07e834cff2c86a18a6d
objects/08/1a9bffa2f6c2394ec76106b4df49aa710a6c49	444	176	8c722796ead7e0bc0462e212acb69c6cfd45b123f29580ae4601589911fe21ca
objects/16/bf8c5a87451975abcedbfc1db6bb8ef340a789	444	182	154cdc14f0e608a2186b69714df8aafaec79dccf48d00d37552547f171b188f9
objects/1c/04a4e8b2b59b02ec70dd898e6c24c9a8c836af	444	184	079cbd01a00d1feb543df2eea7f9dc9af0dfa15fe3fdc02681099ca96c187340
objects/20/496687f8ed6245a64e9d79879001269a124ca0	444	181	b821258f7055c40be612839906bf133d5dfcf9c164a77711d6501f94dba8ab9f
objects/33/76637160f9b927f7eebced9f8b477e140d449d	444	183	dce630a6e160f7db23dd31633e7080fd5428a539cf86b2faf08ab789f4f7b3b1
objects/34/4fa4f9be6c99ff7d6f1340009d34c2cb1d2770	444	182	f4f7f9bb15de5b74f695679fd9307e333c7cd6d0a0e9b9338d20a8cf2e3cb677
objects/40/2b2219fdafb84f12197d1ee6d7bf8503aa9552	444	182	73c5b4b0508a890c255cf836c30ab8c492d1e52ed688c0c1ec47662cf17d9158
objects/5f/1bacbcb70c382b082a3847ad4358d9db86a049	444	182	a212600b7e2ecd5a4530596ad9c0af30c24794c45bb8c96ad9d1ad191ba6a535
objects/6c/3a2b9d135ef087f4909a41142bfed91f675694	444	187	3d769039fcbc338f9e051a7596539cb1bff3874964c8451729ab9c1bf9727835
objects/7b/0be17e1735cdd491455702b54d78bba172439e	444	184	7f1ae56c3d65eb6b47849cdd74c5b8236a43c13c2809509214a580a9c5196d3f
objects/7c/414494d739c04004f8daecf896ca176517b2ee	444	185	78d3cda68d71dc181e9962fa6f94c17ece00095bac4ebb1e7d372f8fed089759
objects/7d/c1130c85ab86f6aad51172bb7acf139d61abb5	444	181	e9b0221c21cf9ee93e64b6e14a22384cf06838274740ee6c5965bdb4ba439671
objects/84/d6dd4eb1a1067b64467096180d5b0c656a740b	444	182	6c21cf9d69baf9fa212689933222afef2e2e2166ae4e3cab1ff2a81274466ff0
objects/94/e7b7832b26079e038076245959a7bbbb9c1fea	444	185	79b59068e5dc4f21d4f7d3323755564022ca0e59f0adf904abc7560236a7460c
objects/a2/3010e9a027c25737fcf4987174971039faf213	444	180	575908bea8923e9178003e7fc04d1bb229e5cd4d4bc7ef9c207494ffa533e628
objects/c0/9a4c73f28af45ad3a833333f95c33ac7a5c48e	444	184	495c43ca4840a1af0d8c937507994b59d5bdd61db09ec875e028e8c8d40017c2
objects/d5/535bcac4318158b45ef9bf2bf302d093921203	444	178	f5715870d4c5f92f54219b34b9c098e0084b5de7bccc30f88fb4186f95244456
objects/de/b6a4a2f35c18c41adcd0820027b7f0149b89f3	444	178	6946a33f0a5081b45eb6e6967045598b9cd5262e525cd1e6de9531594724fa3a
objects/e2/a3734bf73aafd2f45f0b68185a82c315813e6f	444	180	910ef9d656433c48136b42c50b7fa59dad1031bfa7e5cfe9d438eaf7ff638dc8
objects/ef/36738fcd2349daedcd170d04f0cd0f71566e9a	444	177	084d342776f53afb685af227a66cfb49062bcf5a8bd3c0bc0b1a0a7e3a9ed2a7
objects/f0/c045177445c602883d88182ad5f2eac4249ef2	444	180	b125df4398f8d3c90ef5d751efd841b8b82b8e8d0e62f9f0898a7451aa2f89e3
objects/f7/79543c5834136c6821d687135284b5770139d5	444	185	07dbacfd8bcb748eea5685caa624b8e5d0316cc2e8a9401690971313ec180586
objects/fe/8dcdb66357263b808f6b169e34f2eb6732d48f	444	185	aecb97e76c9fb139808e361162076e6585b7a611189f116e2a843d45d175f9d2
refs/heads/recovery-v2b	444	41	07f98e58c94ca575f914898c84573b286ea69e525c2b48a55fbb419bc3e55ac0
shallow	444	41	d778570d4d2944f1b02d7a89885e31c87e4e85e030b17cfb583832ca05a797dc
