[infer] serving ml/experiments/v32-onpolicy-solo/shared-critic/checkpoint.pt (arc-entity-scorer-v2, obs_dim=3419, act_dim=104) on /dev/shm/arc-v34-phase2/heuristic-s4-h2/attempt-1/infer.sock device=cuda window=2.0ms max_batch=512
[infer] reqs=1821 rows=2865 batches=163 avg_batch=17.6 batch_p50=17 batch_p95=28 batch_min=2 batch_max=45 forwards/s=32.6
[infer] reqs=6961 rows=11008 batches=587 avg_batch=18.8 batch_p50=18 batch_p95=30 batch_min=1 batch_max=39 forwards/s=117.4
[infer] reqs=7277 rows=11604 batches=601 avg_batch=19.3 batch_p50=19 batch_p95=30 batch_min=5 batch_max=41 forwards/s=120.2
[infer] reqs=7160 rows=11320 batches=585 avg_batch=19.4 batch_p50=19 batch_p95=30 batch_min=5 batch_max=37 forwards/s=117.0
[infer] reqs=7881 rows=12610 batches=635 avg_batch=19.9 batch_p50=19 batch_p95=31 batch_min=4 batch_max=43 forwards/s=127.0
[infer] reqs=7551 rows=11799 batches=619 avg_batch=19.1 batch_p50=19 batch_p95=29 batch_min=7 batch_max=42 forwards/s=123.8
[infer] reqs=7193 rows=11488 batches=601 avg_batch=19.1 batch_p50=19 batch_p95=30 batch_min=4 batch_max=39 forwards/s=120.2
[infer] reqs=7662 rows=12082 batches=624 avg_batch=19.4 batch_p50=19 batch_p95=29 batch_min=7 batch_max=36 forwards/s=124.8
[infer] reqs=7620 rows=11922 batches=638 avg_batch=18.7 batch_p50=19 batch_p95=28 batch_min=6 batch_max=38 forwards/s=127.6
[infer] reqs=7543 rows=11817 batches=623 avg_batch=19.0 batch_p50=19 batch_p95=29 batch_min=4 batch_max=38 forwards/s=124.6
[infer] reqs=7309 rows=11585 batches=612 avg_batch=18.9 batch_p50=18 batch_p95=29 batch_min=6 batch_max=37 forwards/s=122.4
[infer] reqs=7165 rows=11365 batches=597 avg_batch=19.0 batch_p50=19 batch_p95=29 batch_min=3 batch_max=40 forwards/s=119.4
[infer] reqs=6956 rows=11039 batches=591 avg_batch=18.7 batch_p50=18 batch_p95=29 batch_min=4 batch_max=41 forwards/s=118.2
[infer] reqs=7346 rows=11650 batches=616 avg_batch=18.9 batch_p50=18 batch_p95=29 batch_min=5 batch_max=38 forwards/s=123.2
[infer] reqs=7435 rows=11626 batches=625 avg_batch=18.6 batch_p50=19 batch_p95=29 batch_min=5 batch_max=38 forwards/s=125.0
[infer] reqs=7133 rows=11152 batches=615 avg_batch=18.1 batch_p50=18 batch_p95=28 batch_min=3 batch_max=39 forwards/s=123.0
[infer] reqs=7215 rows=11516 batches=615 avg_batch=18.7 batch_p50=18 batch_p95=28 batch_min=6 batch_max=40 forwards/s=123.0
[infer] reqs=7460 rows=11823 batches=626 avg_batch=18.9 batch_p50=19 batch_p95=29 batch_min=5 batch_max=39 forwards/s=125.2
[infer] reqs=7202 rows=11497 batches=612 avg_batch=18.8 batch_p50=19 batch_p95=28 batch_min=5 batch_max=34 forwards/s=122.4
[infer] reqs=7721 rows=12140 batches=631 avg_batch=19.2 batch_p50=19 batch_p95=30 batch_min=6 batch_max=42 forwards/s=126.2
[infer] reqs=7299 rows=11581 batches=609 avg_batch=19.0 batch_p50=19 batch_p95=29 batch_min=4 batch_max=38 forwards/s=121.8
[infer] reqs=7384 rows=11713 batches=613 avg_batch=19.1 batch_p50=19 batch_p95=29 batch_min=7 batch_max=35 forwards/s=122.6
[infer] reqs=7066 rows=11284 batches=596 avg_batch=18.9 batch_p50=18 batch_p95=29 batch_min=5 batch_max=42 forwards/s=119.2
[infer] reqs=7502 rows=11983 batches=625 avg_batch=19.2 batch_p50=19 batch_p95=29 batch_min=6 batch_max=39 forwards/s=125.0
[infer] reqs=7547 rows=11887 batches=625 avg_batch=19.0 batch_p50=19 batch_p95=28 batch_min=5 batch_max=39 forwards/s=125.0
[infer] reqs=7818 rows=12272 batches=640 avg_batch=19.2 batch_p50=19 batch_p95=29 batch_min=6 batch_max=38 forwards/s=128.0
[infer] reqs=7787 rows=12413 batches=639 avg_batch=19.4 batch_p50=19 batch_p95=30 batch_min=5 batch_max=40 forwards/s=127.8
[infer] reqs=7593 rows=12161 batches=643 avg_batch=18.9 batch_p50=19 batch_p95=28 batch_min=6 batch_max=43 forwards/s=128.6
[infer] reqs=7638 rows=11971 batches=639 avg_batch=18.7 batch_p50=18 batch_p95=28 batch_min=6 batch_max=38 forwards/s=127.8
[infer] reqs=7461 rows=11858 batches=634 avg_batch=18.7 batch_p50=19 batch_p95=28 batch_min=4 batch_max=41 forwards/s=126.8
[infer] reqs=7527 rows=11965 batches=620 avg_batch=19.3 batch_p50=19 batch_p95=29 batch_min=5 batch_max=38 forwards/s=124.0
[infer] reqs=7684 rows=12251 batches=637 avg_batch=19.2 batch_p50=19 batch_p95=28 batch_min=6 batch_max=40 forwards/s=127.4
[infer] reqs=7437 rows=11825 batches=616 avg_batch=19.2 batch_p50=19 batch_p95=30 batch_min=4 batch_max=43 forwards/s=123.2
[infer] reqs=7719 rows=12220 batches=645 avg_batch=18.9 batch_p50=18 batch_p95=29 batch_min=6 batch_max=39 forwards/s=129.0
[infer] reqs=7785 rows=12358 batches=648 avg_batch=19.1 batch_p50=19 batch_p95=28 batch_min=5 batch_max=37 forwards/s=129.6
[infer] reqs=7684 rows=12108 batches=646 avg_batch=18.7 batch_p50=18 batch_p95=29 batch_min=4 batch_max=38 forwards/s=129.2
[infer] reqs=7791 rows=12340 batches=646 avg_batch=19.1 batch_p50=19 batch_p95=28 batch_min=7 batch_max=44 forwards/s=129.2
[infer] reqs=7686 rows=12129 batches=634 avg_batch=19.1 batch_p50=19 batch_p95=30 batch_min=7 batch_max=39 forwards/s=126.8
[infer] reqs=7817 rows=12341 batches=646 avg_batch=19.1 batch_p50=19 batch_p95=28 batch_min=5 batch_max=36 forwards/s=129.2
[infer] reqs=7811 rows=12347 batches=647 avg_batch=19.1 batch_p50=19 batch_p95=29 batch_min=5 batch_max=37 forwards/s=129.4
[infer] reqs=7669 rows=12138 batches=646 avg_batch=18.8 batch_p50=18 batch_p95=28 batch_min=4 batch_max=43 forwards/s=129.2
[infer] reqs=7576 rows=12039 batches=643 avg_batch=18.7 batch_p50=18 batch_p95=28 batch_min=5 batch_max=41 forwards/s=128.6
[infer] reqs=7414 rows=11844 batches=622 avg_batch=19.0 batch_p50=19 batch_p95=29 batch_min=2 batch_max=38 forwards/s=124.4
[infer] reqs=7611 rows=11974 batches=642 avg_batch=18.7 batch_p50=18 batch_p95=28 batch_min=3 batch_max=40 forwards/s=128.4
[infer] reqs=7611 rows=11982 batches=627 avg_batch=19.1 batch_p50=19 batch_p95=29 batch_min=4 batch_max=37 forwards/s=125.4
[infer] reqs=7327 rows=11566 batches=609 avg_batch=19.0 batch_p50=19 batch_p95=29 batch_min=6 batch_max=37 forwards/s=121.8
[infer] reqs=7836 rows=12427 batches=636 avg_batch=19.5 batch_p50=19 batch_p95=30 batch_min=5 batch_max=42 forwards/s=127.2
[infer] reqs=7820 rows=12268 batches=642 avg_batch=19.1 batch_p50=19 batch_p95=29 batch_min=7 batch_max=39 forwards/s=128.4
[infer] reqs=7579 rows=11975 batches=637 avg_batch=18.8 batch_p50=19 batch_p95=28 batch_min=6 batch_max=34 forwards/s=127.4
[infer] reqs=7387 rows=11761 batches=623 avg_batch=18.9 batch_p50=19 batch_p95=29 batch_min=4 batch_max=44 forwards/s=124.6
[infer] reqs=7623 rows=12170 batches=634 avg_batch=19.2 batch_p50=19 batch_p95=30 batch_min=7 batch_max=39 forwards/s=126.8
[infer] reqs=7488 rows=11764 batches=615 avg_batch=19.1 batch_p50=19 batch_p95=30 batch_min=6 batch_max=39 forwards/s=123.0
[infer] reqs=7797 rows=12223 batches=629 avg_batch=19.4 batch_p50=19 batch_p95=29 batch_min=6 batch_max=40 forwards/s=125.8
[infer] reqs=7352 rows=11641 batches=620 avg_batch=18.8 batch_p50=18 batch_p95=29 batch_min=6 batch_max=38 forwards/s=124.0
[infer] reqs=7263 rows=11622 batches=613 avg_batch=19.0 batch_p50=19 batch_p95=28 batch_min=5 batch_max=40 forwards/s=122.6
