[infer] serving ml/experiments/v32-onpolicy-solo/shared-critic/checkpoint.pt (arc-entity-scorer-v2, obs_dim=3419, act_dim=104) on /dev/shm/arc-v34-phase2/raw/attempt-2/infer.sock device=cuda window=2.0ms max_batch=512
[infer] reqs=1580 rows=1580 batches=134 avg_batch=11.8 batch_p50=12 batch_p95=16 batch_min=1 batch_max=24 forwards/s=26.8
[infer] reqs=6604 rows=6604 batches=543 avg_batch=12.2 batch_p50=12 batch_p95=19 batch_min=4 batch_max=21 forwards/s=108.6
[infer] reqs=7047 rows=7047 batches=555 avg_batch=12.7 batch_p50=13 batch_p95=17 batch_min=6 batch_max=19 forwards/s=111.0
[infer] reqs=7377 rows=7377 batches=579 avg_batch=12.7 batch_p50=13 batch_p95=17 batch_min=7 batch_max=20 forwards/s=115.8
[infer] reqs=7914 rows=7914 batches=601 avg_batch=13.2 batch_p50=13 batch_p95=17 batch_min=5 batch_max=20 forwards/s=120.2
[infer] reqs=7839 rows=7839 batches=597 avg_batch=13.1 batch_p50=13 batch_p95=17 batch_min=6 batch_max=20 forwards/s=119.4
[infer] reqs=7893 rows=7893 batches=599 avg_batch=13.2 batch_p50=13 batch_p95=17 batch_min=5 batch_max=22 forwards/s=119.8
[infer] reqs=7774 rows=7774 batches=595 avg_batch=13.1 batch_p50=13 batch_p95=17 batch_min=7 batch_max=20 forwards/s=119.0
[infer] reqs=7981 rows=7981 batches=596 avg_batch=13.4 batch_p50=13 batch_p95=17 batch_min=7 batch_max=19 forwards/s=119.2
[infer] reqs=7821 rows=7821 batches=599 avg_batch=13.1 batch_p50=13 batch_p95=17 batch_min=5 batch_max=21 forwards/s=119.8
[infer] reqs=8182 rows=8182 batches=609 avg_batch=13.4 batch_p50=13 batch_p95=17 batch_min=7 batch_max=20 forwards/s=121.8
[infer] reqs=8042 rows=8042 batches=604 avg_batch=13.3 batch_p50=13 batch_p95=17 batch_min=6 batch_max=20 forwards/s=120.8
[infer] reqs=8064 rows=8064 batches=605 avg_batch=13.3 batch_p50=13 batch_p95=18 batch_min=5 batch_max=22 forwards/s=121.0
[infer] reqs=7539 rows=7539 batches=578 avg_batch=13.0 batch_p50=13 batch_p95=18 batch_min=4 batch_max=21 forwards/s=115.6
[infer] reqs=7927 rows=7927 batches=596 avg_batch=13.3 batch_p50=13 batch_p95=18 batch_min=5 batch_max=21 forwards/s=119.2
[infer] reqs=7976 rows=7976 batches=605 avg_batch=13.2 batch_p50=13 batch_p95=17 batch_min=6 batch_max=20 forwards/s=121.0
[infer] reqs=7971 rows=7971 batches=609 avg_batch=13.1 batch_p50=13 batch_p95=17 batch_min=4 batch_max=20 forwards/s=121.8
[infer] reqs=7904 rows=7904 batches=604 avg_batch=13.1 batch_p50=13 batch_p95=17 batch_min=7 batch_max=20 forwards/s=120.8
[infer] reqs=7983 rows=7983 batches=599 avg_batch=13.3 batch_p50=13 batch_p95=17 batch_min=6 batch_max=20 forwards/s=119.8
[infer] reqs=7869 rows=7869 batches=608 avg_batch=12.9 batch_p50=13 batch_p95=18 batch_min=5 batch_max=21 forwards/s=121.6
[infer] reqs=8007 rows=8007 batches=607 avg_batch=13.2 batch_p50=13 batch_p95=18 batch_min=4 batch_max=22 forwards/s=121.4
[infer] reqs=8074 rows=8074 batches=609 avg_batch=13.3 batch_p50=13 batch_p95=18 batch_min=6 batch_max=19 forwards/s=121.8
[infer] reqs=7772 rows=7772 batches=588 avg_batch=13.2 batch_p50=13 batch_p95=17 batch_min=5 batch_max=22 forwards/s=117.6
[infer] reqs=7828 rows=7828 batches=598 avg_batch=13.1 batch_p50=13 batch_p95=17 batch_min=5 batch_max=20 forwards/s=119.6
[infer] reqs=7789 rows=7789 batches=599 avg_batch=13.0 batch_p50=13 batch_p95=17 batch_min=6 batch_max=21 forwards/s=119.8
[infer] reqs=8122 rows=8122 batches=609 avg_batch=13.3 batch_p50=13 batch_p95=17 batch_min=6 batch_max=20 forwards/s=121.8
[infer] reqs=8051 rows=8051 batches=607 avg_batch=13.3 batch_p50=13 batch_p95=16 batch_min=7 batch_max=19 forwards/s=121.4
[infer] reqs=7786 rows=7786 batches=591 avg_batch=13.2 batch_p50=13 batch_p95=19 batch_min=5 batch_max=22 forwards/s=118.2
[infer] reqs=8115 rows=8115 batches=602 avg_batch=13.5 batch_p50=13 batch_p95=18 batch_min=6 batch_max=21 forwards/s=120.4
[infer] reqs=7915 rows=7915 batches=600 avg_batch=13.2 batch_p50=13 batch_p95=17 batch_min=5 batch_max=20 forwards/s=120.0
[infer] reqs=7869 rows=7869 batches=595 avg_batch=13.2 batch_p50=13 batch_p95=18 batch_min=3 batch_max=21 forwards/s=119.0
[infer] reqs=7997 rows=7997 batches=605 avg_batch=13.2 batch_p50=13 batch_p95=18 batch_min=4 batch_max=22 forwards/s=121.0
[infer] reqs=8156 rows=8156 batches=604 avg_batch=13.5 batch_p50=14 batch_p95=18 batch_min=6 batch_max=21 forwards/s=120.8
[infer] reqs=7930 rows=7930 batches=602 avg_batch=13.2 batch_p50=13 batch_p95=17 batch_min=6 batch_max=20 forwards/s=120.4
[infer] reqs=8000 rows=8000 batches=605 avg_batch=13.2 batch_p50=13 batch_p95=17 batch_min=6 batch_max=21 forwards/s=121.0
[infer] reqs=7790 rows=7790 batches=596 avg_batch=13.1 batch_p50=13 batch_p95=19 batch_min=3 batch_max=22 forwards/s=119.2
[infer] reqs=7850 rows=7850 batches=598 avg_batch=13.1 batch_p50=13 batch_p95=17 batch_min=5 batch_max=21 forwards/s=119.6
[infer] reqs=7615 rows=7615 batches=591 avg_batch=12.9 batch_p50=13 batch_p95=17 batch_min=6 batch_max=19 forwards/s=118.2
[infer] reqs=7632 rows=7632 batches=591 avg_batch=12.9 batch_p50=13 batch_p95=17 batch_min=6 batch_max=19 forwards/s=118.2
[infer] reqs=8030 rows=8030 batches=611 avg_batch=13.1 batch_p50=13 batch_p95=18 batch_min=6 batch_max=20 forwards/s=122.2
[infer] reqs=7443 rows=7443 batches=580 avg_batch=12.8 batch_p50=13 batch_p95=17 batch_min=7 batch_max=20 forwards/s=116.0
[infer] reqs=7441 rows=7441 batches=574 avg_batch=13.0 batch_p50=13 batch_p95=18 batch_min=6 batch_max=20 forwards/s=114.8
[infer] reqs=7654 rows=7654 batches=586 avg_batch=13.1 batch_p50=13 batch_p95=17 batch_min=6 batch_max=19 forwards/s=117.2
[infer] reqs=7654 rows=7654 batches=593 avg_batch=12.9 batch_p50=13 batch_p95=17 batch_min=6 batch_max=19 forwards/s=118.6
[infer] reqs=7537 rows=7537 batches=600 avg_batch=12.6 batch_p50=13 batch_p95=16 batch_min=6 batch_max=19 forwards/s=120.0
[infer] reqs=7760 rows=7760 batches=601 avg_batch=12.9 batch_p50=13 batch_p95=17 batch_min=5 batch_max=20 forwards/s=120.2
[infer] reqs=7905 rows=7905 batches=603 avg_batch=13.1 batch_p50=13 batch_p95=18 batch_min=5 batch_max=20 forwards/s=120.6
[infer] reqs=7902 rows=7902 batches=607 avg_batch=13.0 batch_p50=13 batch_p95=17 batch_min=5 batch_max=19 forwards/s=121.4
[infer] reqs=8038 rows=8038 batches=610 avg_batch=13.2 batch_p50=13 batch_p95=17 batch_min=7 batch_max=19 forwards/s=122.0
[infer] reqs=8072 rows=8072 batches=611 avg_batch=13.2 batch_p50=13 batch_p95=17 batch_min=6 batch_max=20 forwards/s=122.2
[infer] reqs=8038 rows=8038 batches=612 avg_batch=13.1 batch_p50=13 batch_p95=17 batch_min=7 batch_max=19 forwards/s=122.4
[infer] reqs=7754 rows=7754 batches=603 avg_batch=12.9 batch_p50=13 batch_p95=17 batch_min=4 batch_max=19 forwards/s=120.6
[infer] reqs=7957 rows=7957 batches=607 avg_batch=13.1 batch_p50=13 batch_p95=17 batch_min=6 batch_max=20 forwards/s=121.4
[infer] reqs=7961 rows=7961 batches=606 avg_batch=13.1 batch_p50=13 batch_p95=17 batch_min=7 batch_max=19 forwards/s=121.2
