[infer] serving ml/experiments/v32-onpolicy-solo/shared-critic/checkpoint.pt (arc-entity-scorer-v2, obs_dim=3419, act_dim=104) on /dev/shm/arc-v34-phase2/rerank-p050/attempt-2/infer.sock device=cuda window=2.0ms max_batch=512
[infer] reqs=2206 rows=4066 batches=187 avg_batch=21.7 batch_p50=22 batch_p95=37 batch_min=1 batch_max=115 forwards/s=37.4
[infer] reqs=7463 rows=14315 batches=611 avg_batch=23.4 batch_p50=23 batch_p95=38 batch_min=1 batch_max=56 forwards/s=122.2
[infer] reqs=8096 rows=15372 batches=647 avg_batch=23.8 batch_p50=23 batch_p95=39 batch_min=5 batch_max=60 forwards/s=129.4
[infer] reqs=8294 rows=15814 batches=642 avg_batch=24.6 batch_p50=24 batch_p95=38 batch_min=7 batch_max=53 forwards/s=128.4
[infer] reqs=8102 rows=15202 batches=631 avg_batch=24.1 batch_p50=23 batch_p95=38 batch_min=7 batch_max=51 forwards/s=126.2
[infer] reqs=7604 rows=14556 batches=596 avg_batch=24.4 batch_p50=24 batch_p95=38 batch_min=7 batch_max=52 forwards/s=119.2
[infer] reqs=8133 rows=15549 batches=628 avg_batch=24.8 batch_p50=24 batch_p95=38 batch_min=7 batch_max=56 forwards/s=125.6
[infer] reqs=8422 rows=16034 batches=640 avg_batch=25.1 batch_p50=25 batch_p95=40 batch_min=6 batch_max=52 forwards/s=128.0
[infer] reqs=7931 rows=15119 batches=616 avg_batch=24.5 batch_p50=24 batch_p95=39 batch_min=4 batch_max=53 forwards/s=123.2
[infer] reqs=8459 rows=16187 batches=648 avg_batch=25.0 batch_p50=25 batch_p95=40 batch_min=5 batch_max=52 forwards/s=129.6
[infer] reqs=8641 rows=16293 batches=651 avg_batch=25.0 batch_p50=24 batch_p95=37 batch_min=9 batch_max=49 forwards/s=130.2
[infer] reqs=8533 rows=16369 batches=647 avg_batch=25.3 batch_p50=25 batch_p95=40 batch_min=6 batch_max=52 forwards/s=129.4
[infer] reqs=8489 rows=16041 batches=645 avg_batch=24.9 batch_p50=25 batch_p95=38 batch_min=7 batch_max=51 forwards/s=129.0
[infer] reqs=7679 rows=14619 batches=605 avg_batch=24.2 batch_p50=23 batch_p95=37 batch_min=7 batch_max=52 forwards/s=121.0
[infer] reqs=8444 rows=16148 batches=647 avg_batch=25.0 batch_p50=25 batch_p95=38 batch_min=6 batch_max=53 forwards/s=129.4
[infer] reqs=8742 rows=16522 batches=651 avg_batch=25.4 batch_p50=25 batch_p95=38 batch_min=6 batch_max=50 forwards/s=130.2
[infer] reqs=8264 rows=15872 batches=628 avg_batch=25.3 batch_p50=25 batch_p95=38 batch_min=7 batch_max=48 forwards/s=125.6
[infer] reqs=8546 rows=16166 batches=648 avg_batch=24.9 batch_p50=24 batch_p95=38 batch_min=8 batch_max=55 forwards/s=129.6
[infer] reqs=8877 rows=17049 batches=652 avg_batch=26.1 batch_p50=25 batch_p95=39 batch_min=7 batch_max=58 forwards/s=130.4
[infer] reqs=8153 rows=15369 batches=624 avg_batch=24.6 batch_p50=24 batch_p95=36 batch_min=7 batch_max=47 forwards/s=124.8
[infer] reqs=8798 rows=16854 batches=658 avg_batch=25.6 batch_p50=25 batch_p95=38 batch_min=8 batch_max=55 forwards/s=131.6
[infer] reqs=8974 rows=17082 batches=660 avg_batch=25.9 batch_p50=25 batch_p95=39 batch_min=4 batch_max=53 forwards/s=132.0
[infer] reqs=8695 rows=16583 batches=654 avg_batch=25.4 batch_p50=25 batch_p95=39 batch_min=7 batch_max=55 forwards/s=130.8
[infer] reqs=8685 rows=16609 batches=655 avg_batch=25.4 batch_p50=25 batch_p95=38 batch_min=8 batch_max=53 forwards/s=131.0
[infer] reqs=8643 rows=16539 batches=654 avg_batch=25.3 batch_p50=25 batch_p95=38 batch_min=7 batch_max=55 forwards/s=130.8
[infer] reqs=8807 rows=16883 batches=656 avg_batch=25.7 batch_p50=25 batch_p95=39 batch_min=6 batch_max=51 forwards/s=131.2
[infer] reqs=8239 rows=15651 batches=629 avg_batch=24.9 batch_p50=24 batch_p95=37 batch_min=8 batch_max=47 forwards/s=125.8
[infer] reqs=8058 rows=15590 batches=623 avg_batch=25.0 batch_p50=25 batch_p95=38 batch_min=7 batch_max=47 forwards/s=124.6
[infer] reqs=8468 rows=16100 batches=640 avg_batch=25.2 batch_p50=25 batch_p95=40 batch_min=6 batch_max=50 forwards/s=128.0
[infer] reqs=8760 rows=16736 batches=654 avg_batch=25.6 batch_p50=25 batch_p95=37 batch_min=9 batch_max=49 forwards/s=130.8
[infer] reqs=8743 rows=16699 batches=653 avg_batch=25.6 batch_p50=25 batch_p95=40 batch_min=7 batch_max=66 forwards/s=130.6
[infer] reqs=8737 rows=16597 batches=650 avg_batch=25.5 batch_p50=25 batch_p95=38 batch_min=9 batch_max=51 forwards/s=130.0
[infer] reqs=8697 rows=16481 batches=652 avg_batch=25.3 batch_p50=25 batch_p95=37 batch_min=7 batch_max=50 forwards/s=130.4
[infer] reqs=8813 rows=16769 batches=654 avg_batch=25.6 batch_p50=25 batch_p95=37 batch_min=9 batch_max=52 forwards/s=130.8
[infer] reqs=8558 rows=16246 batches=644 avg_batch=25.2 batch_p50=25 batch_p95=38 batch_min=6 batch_max=56 forwards/s=128.8
[infer] reqs=8822 rows=16690 batches=655 avg_batch=25.5 batch_p50=25 batch_p95=38 batch_min=8 batch_max=48 forwards/s=131.0
[infer] reqs=8799 rows=16715 batches=651 avg_batch=25.7 batch_p50=25 batch_p95=40 batch_min=5 batch_max=51 forwards/s=130.2
[infer] reqs=8946 rows=17026 batches=657 avg_batch=25.9 batch_p50=25 batch_p95=39 batch_min=9 batch_max=59 forwards/s=131.4
[infer] reqs=8693 rows=16585 batches=651 avg_batch=25.5 batch_p50=25 batch_p95=42 batch_min=6 batch_max=51 forwards/s=130.2
[infer] reqs=8946 rows=17042 batches=657 avg_batch=25.9 batch_p50=25 batch_p95=39 batch_min=10 batch_max=50 forwards/s=131.4
[infer] reqs=8914 rows=16890 batches=657 avg_batch=25.7 batch_p50=25 batch_p95=40 batch_min=7 batch_max=50 forwards/s=131.4
[infer] reqs=8826 rows=16790 batches=655 avg_batch=25.6 batch_p50=25 batch_p95=39 batch_min=7 batch_max=52 forwards/s=131.0
[infer] reqs=8823 rows=16715 batches=658 avg_batch=25.4 batch_p50=25 batch_p95=38 batch_min=9 batch_max=50 forwards/s=131.6
[infer] reqs=8370 rows=15810 batches=626 avg_batch=25.3 batch_p50=25 batch_p95=38 batch_min=6 batch_max=48 forwards/s=125.2
[infer] reqs=8633 rows=16509 batches=642 avg_batch=25.7 batch_p50=25 batch_p95=38 batch_min=7 batch_max=59 forwards/s=128.4
[infer] reqs=8887 rows=16859 batches=654 avg_batch=25.8 batch_p50=25 batch_p95=38 batch_min=4 batch_max=59 forwards/s=130.8
[infer] reqs=8117 rows=15489 batches=616 avg_batch=25.1 batch_p50=25 batch_p95=38 batch_min=7 batch_max=50 forwards/s=123.2
[infer] reqs=7675 rows=14623 batches=597 avg_batch=24.5 batch_p50=24 batch_p95=40 batch_min=3 batch_max=53 forwards/s=119.4
[infer] reqs=8753 rows=16629 batches=647 avg_batch=25.7 batch_p50=25 batch_p95=39 batch_min=9 batch_max=55 forwards/s=129.4
[infer] reqs=8740 rows=16548 batches=652 avg_batch=25.4 batch_p50=25 batch_p95=38 batch_min=7 batch_max=49 forwards/s=130.4
[infer] reqs=8356 rows=15956 batches=632 avg_batch=25.2 batch_p50=25 batch_p95=38 batch_min=7 batch_max=57 forwards/s=126.4
[infer] reqs=9034 rows=17234 batches=657 avg_batch=26.2 batch_p50=26 batch_p95=39 batch_min=7 batch_max=51 forwards/s=131.4
[infer] reqs=8970 rows=17066 batches=660 avg_batch=25.9 batch_p50=25 batch_p95=41 batch_min=8 batch_max=53 forwards/s=132.0
[infer] reqs=8653 rows=16449 batches=648 avg_batch=25.4 batch_p50=25 batch_p95=37 batch_min=7 batch_max=48 forwards/s=129.6
[infer] reqs=8518 rows=16118 batches=641 avg_batch=25.1 batch_p50=25 batch_p95=38 batch_min=7 batch_max=49 forwards/s=128.2
[infer] reqs=8559 rows=16339 batches=649 avg_batch=25.2 batch_p50=25 batch_p95=39 batch_min=7 batch_max=58 forwards/s=129.8
[infer] reqs=8760 rows=16644 batches=655 avg_batch=25.4 batch_p50=25 batch_p95=39 batch_min=6 batch_max=52 forwards/s=131.0
[infer] reqs=8901 rows=17117 batches=655 avg_batch=26.1 batch_p50=26 batch_p95=39 batch_min=8 batch_max=56 forwards/s=131.0
[infer] reqs=8897 rows=16889 batches=657 avg_batch=25.7 batch_p50=25 batch_p95=39 batch_min=7 batch_max=53 forwards/s=131.4
[infer] reqs=8997 rows=17185 batches=660 avg_batch=26.0 batch_p50=26 batch_p95=40 batch_min=7 batch_max=58 forwards/s=132.0
[infer] reqs=8866 rows=17002 batches=657 avg_batch=25.9 batch_p50=26 batch_p95=39 batch_min=8 batch_max=53 forwards/s=131.4
[infer] reqs=8791 rows=16567 batches=658 avg_batch=25.2 batch_p50=25 batch_p95=39 batch_min=7 batch_max=49 forwards/s=131.6
[infer] reqs=7078 rows=13826 batches=639 avg_batch=21.6 batch_p50=22 batch_p95=39 batch_min=1 batch_max=53 forwards/s=127.8
[infer] reqs=2159 rows=4155 batches=541 avg_batch=7.7 batch_p50=7 batch_p95=17 batch_min=1 batch_max=27 forwards/s=108.2
[infer] reqs=2818 rows=5430 batches=656 avg_batch=8.3 batch_p50=8 batch_p95=17 batch_min=1 batch_max=23 forwards/s=131.2
[infer] reqs=2800 rows=5296 batches=656 avg_batch=8.1 batch_p50=8 batch_p95=16 batch_min=1 batch_max=27 forwards/s=131.2
[infer] shut down
