[infer] serving /data/share8/michaelvuaprilexperimentation/arc-bot/ml/experiments/v32-onpolicy-solo/shared-critic/checkpoint.pt (arc-entity-scorer-v2, obs_dim=3419, act_dim=104) on /dev/shm/arc-v34/preview-infer.sock device=cuda window=2.0ms max_batch=512
[infer] reqs=2035 rows=3780 batches=174 avg_batch=21.7 batch_p50=20 batch_p95=37 batch_min=1 batch_max=138 forwards/s=34.8
[infer] reqs=6427 rows=12992 batches=529 avg_batch=24.6 batch_p50=23 batch_p95=44 batch_min=1 batch_max=68 forwards/s=105.8
[infer] reqs=6829 rows=13834 batches=552 avg_batch=25.1 batch_p50=24 batch_p95=42 batch_min=5 batch_max=55 forwards/s=110.4
[infer] reqs=6982 rows=14152 batches=550 avg_batch=25.7 batch_p50=26 batch_p95=41 batch_min=5 batch_max=59 forwards/s=110.0
[infer] reqs=6981 rows=14001 batches=551 avg_batch=25.4 batch_p50=25 batch_p95=42 batch_min=6 batch_max=58 forwards/s=110.2
[infer] reqs=7049 rows=14209 batches=557 avg_batch=25.5 batch_p50=25 batch_p95=43 batch_min=5 batch_max=53 forwards/s=111.4
[infer] reqs=6811 rows=13691 batches=543 avg_batch=25.2 batch_p50=24 batch_p95=39 batch_min=6 batch_max=55 forwards/s=108.6
[infer] reqs=6613 rows=13308 batches=526 avg_batch=25.3 batch_p50=25 batch_p95=40 batch_min=7 batch_max=54 forwards/s=105.2
[infer] reqs=6936 rows=13911 batches=547 avg_batch=25.4 batch_p50=24 batch_p95=40 batch_min=9 batch_max=55 forwards/s=109.4
[infer] reqs=6962 rows=13937 batches=552 avg_batch=25.2 batch_p50=25 batch_p95=40 batch_min=5 batch_max=57 forwards/s=110.4
[infer] reqs=7020 rows=14100 batches=554 avg_batch=25.5 batch_p50=25 batch_p95=41 batch_min=6 batch_max=61 forwards/s=110.8
[infer] reqs=6986 rows=14106 batches=547 avg_batch=25.8 batch_p50=25 batch_p95=43 batch_min=6 batch_max=59 forwards/s=109.4
[infer] reqs=6891 rows=13886 batches=548 avg_batch=25.3 batch_p50=25 batch_p95=43 batch_min=3 batch_max=56 forwards/s=109.6
[infer] reqs=6714 rows=13659 batches=541 avg_batch=25.2 batch_p50=25 batch_p95=40 batch_min=7 batch_max=49 forwards/s=108.2
[infer] reqs=6702 rows=13587 batches=548 avg_batch=24.8 batch_p50=25 batch_p95=41 batch_min=7 batch_max=53 forwards/s=109.6
[infer] reqs=6575 rows=13405 batches=527 avg_batch=25.4 batch_p50=25 batch_p95=42 batch_min=6 batch_max=66 forwards/s=105.4
[infer] reqs=7079 rows=14339 batches=562 avg_batch=25.5 batch_p50=25 batch_p95=42 batch_min=7 batch_max=61 forwards/s=112.4
[infer] reqs=6921 rows=14166 batches=550 avg_batch=25.8 batch_p50=25 batch_p95=41 batch_min=9 batch_max=58 forwards/s=110.0
[infer] reqs=7196 rows=14456 batches=569 avg_batch=25.4 batch_p50=25 batch_p95=41 batch_min=7 batch_max=58 forwards/s=113.8
[infer] reqs=7093 rows=14288 batches=566 avg_batch=25.2 batch_p50=24 batch_p95=40 batch_min=8 batch_max=55 forwards/s=113.2
[infer] reqs=7156 rows=14446 batches=566 avg_batch=25.5 batch_p50=25 batch_p95=43 batch_min=6 batch_max=61 forwards/s=113.2
[infer] reqs=7005 rows=14130 batches=555 avg_batch=25.5 batch_p50=25 batch_p95=41 batch_min=7 batch_max=63 forwards/s=111.0
[infer] reqs=7072 rows=14167 batches=557 avg_batch=25.4 batch_p50=25 batch_p95=43 batch_min=6 batch_max=68 forwards/s=111.4
[infer] reqs=7027 rows=14157 batches=557 avg_batch=25.4 batch_p50=24 batch_p95=45 batch_min=4 batch_max=62 forwards/s=111.4
[infer] reqs=6906 rows=14046 batches=554 avg_batch=25.4 batch_p50=25 batch_p95=40 batch_min=7 batch_max=58 forwards/s=110.8
[infer] reqs=6907 rows=13947 batches=550 avg_batch=25.4 batch_p50=25 batch_p95=40 batch_min=8 batch_max=52 forwards/s=110.0
[infer] reqs=6920 rows=13750 batches=552 avg_batch=24.9 batch_p50=24 batch_p95=41 batch_min=7 batch_max=57 forwards/s=110.4
[infer] reqs=6931 rows=14131 batches=555 avg_batch=25.5 batch_p50=25 batch_p95=43 batch_min=5 batch_max=59 forwards/s=111.0
[infer] reqs=7008 rows=14128 batches=560 avg_batch=25.2 batch_p50=25 batch_p95=40 batch_min=7 batch_max=68 forwards/s=112.0
