[infer] serving /data/share8/michaelvuaprilexperimentation/arc-bot/ml/experiments/v32-onpolicy-solo/shared-critic/checkpoint.pt (arc-entity-scorer-v2, obs_dim=3419, act_dim=104) on /dev/shm/arc-v35-development/base/infer.sock device=cuda window=2.0ms max_batch=512
[infer] reqs=3160 rows=3160 batches=268 avg_batch=11.8 batch_p50=12 batch_p95=17 batch_min=1 batch_max=23 forwards/s=53.6
[infer] reqs=7494 rows=7494 batches=609 avg_batch=12.3 batch_p50=12 batch_p95=19 batch_min=1 batch_max=22 forwards/s=121.8
[infer] reqs=7119 rows=7119 batches=576 avg_batch=12.4 batch_p50=12 batch_p95=17 batch_min=3 batch_max=22 forwards/s=115.2
[infer] reqs=8029 rows=8029 batches=628 avg_batch=12.8 batch_p50=13 batch_p95=18 batch_min=6 batch_max=20 forwards/s=125.6
[infer] reqs=8014 rows=8014 batches=631 avg_batch=12.7 batch_p50=13 batch_p95=18 batch_min=4 batch_max=21 forwards/s=126.2
[infer] reqs=7881 rows=7881 batches=611 avg_batch=12.9 batch_p50=13 batch_p95=17 batch_min=6 batch_max=19 forwards/s=122.2
[infer] reqs=7632 rows=7632 batches=608 avg_batch=12.6 batch_p50=13 batch_p95=17 batch_min=3 batch_max=21 forwards/s=121.6
[infer] reqs=7737 rows=7737 batches=601 avg_batch=12.9 batch_p50=13 batch_p95=17 batch_min=5 batch_max=20 forwards/s=120.2
[infer] reqs=7874 rows=7874 batches=610 avg_batch=12.9 batch_p50=13 batch_p95=17 batch_min=5 batch_max=21 forwards/s=122.0
[infer] reqs=7652 rows=7652 batches=596 avg_batch=12.8 batch_p50=13 batch_p95=17 batch_min=5 batch_max=20 forwards/s=119.2
[infer] reqs=7874 rows=7874 batches=624 avg_batch=12.6 batch_p50=13 batch_p95=17 batch_min=6 batch_max=20 forwards/s=124.8
[infer] reqs=7522 rows=7522 batches=592 avg_batch=12.7 batch_p50=13 batch_p95=17 batch_min=5 batch_max=21 forwards/s=118.4
[infer] reqs=7818 rows=7818 batches=609 avg_batch=12.8 batch_p50=13 batch_p95=18 batch_min=4 batch_max=21 forwards/s=121.8
[infer] reqs=8036 rows=8036 batches=627 avg_batch=12.8 batch_p50=13 batch_p95=17 batch_min=5 batch_max=21 forwards/s=125.4
[infer] reqs=8086 rows=8086 batches=626 avg_batch=12.9 batch_p50=13 batch_p95=18 batch_min=5 batch_max=20 forwards/s=125.2
[infer] reqs=7748 rows=7748 batches=601 avg_batch=12.9 batch_p50=13 batch_p95=18 batch_min=5 batch_max=20 forwards/s=120.2
[infer] reqs=7791 rows=7791 batches=615 avg_batch=12.7 batch_p50=13 batch_p95=17 batch_min=4 batch_max=21 forwards/s=123.0
[infer] reqs=8152 rows=8152 batches=632 avg_batch=12.9 batch_p50=13 batch_p95=17 batch_min=6 batch_max=20 forwards/s=126.4
[infer] reqs=8184 rows=8184 batches=632 avg_batch=12.9 batch_p50=13 batch_p95=18 batch_min=5 batch_max=21 forwards/s=126.4
[infer] reqs=8141 rows=8141 batches=636 avg_batch=12.8 batch_p50=13 batch_p95=17 batch_min=6 batch_max=19 forwards/s=127.2
[infer] reqs=7936 rows=7936 batches=631 avg_batch=12.6 batch_p50=13 batch_p95=18 batch_min=5 batch_max=20 forwards/s=126.2
[infer] reqs=8010 rows=8010 batches=632 avg_batch=12.7 batch_p50=13 batch_p95=17 batch_min=4 batch_max=19 forwards/s=126.4
[infer] reqs=8135 rows=8135 batches=636 avg_batch=12.8 batch_p50=13 batch_p95=17 batch_min=7 batch_max=18 forwards/s=127.2
[infer] reqs=8193 rows=8193 batches=635 avg_batch=12.9 batch_p50=13 batch_p95=17 batch_min=5 batch_max=21 forwards/s=127.0
[infer] reqs=7867 rows=7867 batches=612 avg_batch=12.9 batch_p50=13 batch_p95=17 batch_min=5 batch_max=19 forwards/s=122.4
[infer] reqs=8202 rows=8202 batches=633 avg_batch=13.0 batch_p50=13 batch_p95=17 batch_min=7 batch_max=19 forwards/s=126.6
[infer] reqs=8208 rows=8208 batches=637 avg_batch=12.9 batch_p50=13 batch_p95=18 batch_min=5 batch_max=20 forwards/s=127.4
[infer] reqs=8251 rows=8251 batches=640 avg_batch=12.9 batch_p50=13 batch_p95=18 batch_min=4 batch_max=21 forwards/s=128.0
[infer] reqs=8084 rows=8084 batches=640 avg_batch=12.6 batch_p50=13 batch_p95=18 batch_min=4 batch_max=20 forwards/s=128.0
[infer] reqs=8430 rows=8430 batches=644 avg_batch=13.1 batch_p50=13 batch_p95=18 batch_min=1 batch_max=24 forwards/s=128.8
[infer] reqs=8328 rows=8328 batches=642 avg_batch=13.0 batch_p50=13 batch_p95=17 batch_min=5 batch_max=21 forwards/s=128.4
[infer] reqs=8183 rows=8183 batches=645 avg_batch=12.7 batch_p50=13 batch_p95=17 batch_min=5 batch_max=20 forwards/s=129.0
[infer] reqs=8217 rows=8217 batches=644 avg_batch=12.8 batch_p50=13 batch_p95=17 batch_min=5 batch_max=20 forwards/s=128.8
[infer] reqs=8130 rows=8130 batches=641 avg_batch=12.7 batch_p50=13 batch_p95=18 batch_min=4 batch_max=20 forwards/s=128.2
[infer] reqs=8252 rows=8252 batches=643 avg_batch=12.8 batch_p50=13 batch_p95=17 batch_min=7 batch_max=19 forwards/s=128.6
[infer] reqs=8297 rows=8297 batches=645 avg_batch=12.9 batch_p50=13 batch_p95=17 batch_min=4 batch_max=21 forwards/s=129.0
[infer] reqs=8313 rows=8313 batches=642 avg_batch=12.9 batch_p50=13 batch_p95=17 batch_min=7 batch_max=19 forwards/s=128.4
[infer] reqs=8034 rows=8034 batches=637 avg_batch=12.6 batch_p50=13 batch_p95=17 batch_min=5 batch_max=20 forwards/s=127.4
[infer] reqs=8022 rows=8022 batches=636 avg_batch=12.6 batch_p50=13 batch_p95=18 batch_min=2 batch_max=22 forwards/s=127.2
