[infer] serving /data/share8/michaelvuaprilexperimentation/arc-bot/ml/experiments/v35-weco-recursive-autoresearch/league/rep-a/late-reweighted/checkpoints/main-0-gen8.pt (arc-entity-scorer-v2, obs_dim=3419, act_dim=104) on /dev/shm/arc-v35-development/rep-a-late-reweighted/infer.sock device=cuda window=2.0ms max_batch=512
[infer] reqs=2709 rows=2709 batches=231 avg_batch=11.7 batch_p50=12 batch_p95=19 batch_min=2 batch_max=22 forwards/s=46.2
[infer] reqs=7177 rows=7177 batches=591 avg_batch=12.1 batch_p50=12 batch_p95=19 batch_min=1 batch_max=24 forwards/s=118.2
[infer] reqs=7492 rows=7492 batches=603 avg_batch=12.4 batch_p50=12 batch_p95=17 batch_min=4 batch_max=20 forwards/s=120.6
[infer] reqs=7913 rows=7913 batches=625 avg_batch=12.7 batch_p50=13 batch_p95=17 batch_min=6 batch_max=19 forwards/s=125.0
[infer] reqs=8066 rows=8066 batches=631 avg_batch=12.8 batch_p50=13 batch_p95=18 batch_min=4 batch_max=21 forwards/s=126.2
[infer] reqs=8037 rows=8037 batches=633 avg_batch=12.7 batch_p50=13 batch_p95=17 batch_min=4 batch_max=19 forwards/s=126.6
[infer] reqs=7982 rows=7982 batches=631 avg_batch=12.6 batch_p50=13 batch_p95=17 batch_min=4 batch_max=21 forwards/s=126.2
[infer] reqs=8041 rows=8041 batches=635 avg_batch=12.7 batch_p50=13 batch_p95=17 batch_min=6 batch_max=19 forwards/s=127.0
[infer] reqs=8206 rows=8206 batches=638 avg_batch=12.9 batch_p50=13 batch_p95=18 batch_min=4 batch_max=22 forwards/s=127.6
[infer] reqs=8229 rows=8229 batches=640 avg_batch=12.9 batch_p50=13 batch_p95=17 batch_min=5 batch_max=21 forwards/s=128.0
[infer] reqs=8384 rows=8384 batches=645 avg_batch=13.0 batch_p50=13 batch_p95=17 batch_min=6 batch_max=21 forwards/s=129.0
[infer] reqs=8221 rows=8221 batches=638 avg_batch=12.9 batch_p50=13 batch_p95=19 batch_min=3 batch_max=22 forwards/s=127.6
[infer] reqs=8039 rows=8039 batches=638 avg_batch=12.6 batch_p50=13 batch_p95=17 batch_min=6 batch_max=20 forwards/s=127.6
[infer] reqs=8084 rows=8084 batches=631 avg_batch=12.8 batch_p50=13 batch_p95=16 batch_min=6 batch_max=19 forwards/s=126.2
[infer] reqs=7820 rows=7820 batches=615 avg_batch=12.7 batch_p50=13 batch_p95=17 batch_min=5 batch_max=20 forwards/s=123.0
[infer] reqs=7584 rows=7584 batches=606 avg_batch=12.5 batch_p50=13 batch_p95=16 batch_min=6 batch_max=20 forwards/s=121.2
[infer] reqs=7926 rows=7926 batches=633 avg_batch=12.5 batch_p50=12 batch_p95=17 batch_min=4 batch_max=21 forwards/s=126.6
[infer] reqs=7759 rows=7759 batches=616 avg_batch=12.6 batch_p50=13 batch_p95=18 batch_min=4 batch_max=20 forwards/s=123.2
[infer] reqs=7635 rows=7635 batches=601 avg_batch=12.7 batch_p50=13 batch_p95=17 batch_min=6 batch_max=19 forwards/s=120.2
[infer] reqs=7594 rows=7594 batches=596 avg_batch=12.7 batch_p50=13 batch_p95=17 batch_min=5 batch_max=20 forwards/s=119.2
[infer] reqs=7698 rows=7698 batches=609 avg_batch=12.6 batch_p50=13 batch_p95=18 batch_min=5 batch_max=19 forwards/s=121.8
[infer] reqs=7622 rows=7622 batches=606 avg_batch=12.6 batch_p50=13 batch_p95=17 batch_min=5 batch_max=20 forwards/s=121.2
[infer] reqs=7615 rows=7615 batches=611 avg_batch=12.5 batch_p50=13 batch_p95=17 batch_min=3 batch_max=21 forwards/s=122.2
[infer] reqs=7831 rows=7831 batches=616 avg_batch=12.7 batch_p50=13 batch_p95=18 batch_min=3 batch_max=21 forwards/s=123.2
[infer] reqs=7715 rows=7715 batches=615 avg_batch=12.5 batch_p50=12 batch_p95=19 batch_min=4 batch_max=21 forwards/s=123.0
[infer] reqs=7997 rows=7997 batches=635 avg_batch=12.6 batch_p50=13 batch_p95=17 batch_min=6 batch_max=19 forwards/s=127.0
[infer] reqs=7488 rows=7488 batches=607 avg_batch=12.3 batch_p50=12 batch_p95=18 batch_min=4 batch_max=21 forwards/s=121.4
[infer] reqs=7777 rows=7777 batches=624 avg_batch=12.5 batch_p50=12 batch_p95=17 batch_min=5 batch_max=20 forwards/s=124.8
[infer] reqs=7887 rows=7887 batches=630 avg_batch=12.5 batch_p50=13 batch_p95=17 batch_min=4 batch_max=20 forwards/s=126.0
[infer] reqs=8043 rows=8043 batches=640 avg_batch=12.6 batch_p50=13 batch_p95=17 batch_min=6 batch_max=19 forwards/s=128.0
