[infer] serving /data/share8/michaelvuaprilexperimentation/arc-bot/ml/experiments/v35-weco-recursive-autoresearch/league/rep-a/p30-credit025/checkpoints/main-0-gen8.pt (arc-entity-scorer-v2, obs_dim=3419, act_dim=104) on /dev/shm/arc-v35-development/rep-a-p30-credit025/infer.sock device=cuda window=2.0ms max_batch=512
[infer] reqs=3273 rows=3273 batches=279 avg_batch=11.7 batch_p50=11 batch_p95=19 batch_min=1 batch_max=21 forwards/s=55.8
[infer] reqs=7763 rows=7763 batches=640 avg_batch=12.1 batch_p50=12 batch_p95=18 batch_min=1 batch_max=22 forwards/s=128.0
[infer] reqs=7459 rows=7459 batches=605 avg_batch=12.3 batch_p50=12 batch_p95=17 batch_min=3 batch_max=19 forwards/s=121.0
[infer] reqs=8081 rows=8081 batches=630 avg_batch=12.8 batch_p50=13 batch_p95=17 batch_min=6 batch_max=19 forwards/s=126.0
[infer] reqs=8249 rows=8249 batches=644 avg_batch=12.8 batch_p50=13 batch_p95=18 batch_min=5 batch_max=20 forwards/s=128.8
[infer] reqs=8312 rows=8312 batches=647 avg_batch=12.8 batch_p50=13 batch_p95=18 batch_min=5 batch_max=21 forwards/s=129.4
[infer] reqs=7489 rows=7489 batches=602 avg_batch=12.4 batch_p50=12 batch_p95=19 batch_min=1 batch_max=23 forwards/s=120.4
[infer] reqs=7852 rows=7852 batches=630 avg_batch=12.5 batch_p50=13 batch_p95=17 batch_min=4 batch_max=20 forwards/s=126.0
[infer] reqs=7792 rows=7792 batches=624 avg_batch=12.5 batch_p50=12 batch_p95=18 batch_min=5 batch_max=20 forwards/s=124.8
[infer] reqs=7979 rows=7979 batches=628 avg_batch=12.7 batch_p50=13 batch_p95=16 batch_min=5 batch_max=21 forwards/s=125.6
[infer] reqs=8194 rows=8194 batches=650 avg_batch=12.6 batch_p50=13 batch_p95=16 batch_min=7 batch_max=19 forwards/s=130.0
[infer] reqs=8140 rows=8140 batches=652 avg_batch=12.5 batch_p50=13 batch_p95=16 batch_min=5 batch_max=21 forwards/s=130.4
