[infer] serving /data/share8/michaelvuaprilexperimentation/arc-bot/ml/experiments/v35-weco-recursive-autoresearch/league/rep-b/control-uniform/checkpoints/main-0-gen8.pt (arc-entity-scorer-v2, obs_dim=3419, act_dim=104) on /dev/shm/arc-v35-development/rep-b-control-uniform/infer.sock device=cuda window=2.0ms max_batch=512
[infer] reqs=3089 rows=3089 batches=262 avg_batch=11.8 batch_p50=12 batch_p95=19 batch_min=1 batch_max=24 forwards/s=52.4
[infer] reqs=7779 rows=7779 batches=635 avg_batch=12.3 batch_p50=12 batch_p95=18 batch_min=1 batch_max=22 forwards/s=127.0
[infer] reqs=8232 rows=8232 batches=651 avg_batch=12.6 batch_p50=13 batch_p95=17 batch_min=4 batch_max=19 forwards/s=130.2
[infer] reqs=8363 rows=8363 batches=658 avg_batch=12.7 batch_p50=13 batch_p95=17 batch_min=5 batch_max=20 forwards/s=131.6
[infer] reqs=8357 rows=8357 batches=657 avg_batch=12.7 batch_p50=13 batch_p95=17 batch_min=4 batch_max=22 forwards/s=131.4
[infer] reqs=8308 rows=8308 batches=654 avg_batch=12.7 batch_p50=13 batch_p95=18 batch_min=4 batch_max=21 forwards/s=130.8
[infer] reqs=8327 rows=8327 batches=656 avg_batch=12.7 batch_p50=13 batch_p95=16 batch_min=6 batch_max=20 forwards/s=131.2
[infer] reqs=8304 rows=8304 batches=652 avg_batch=12.7 batch_p50=13 batch_p95=17 batch_min=5 batch_max=20 forwards/s=130.4
[infer] reqs=8276 rows=8276 batches=653 avg_batch=12.7 batch_p50=13 batch_p95=16 batch_min=6 batch_max=19 forwards/s=130.6
[infer] reqs=8254 rows=8254 batches=648 avg_batch=12.7 batch_p50=13 batch_p95=17 batch_min=7 batch_max=19 forwards/s=129.6
[infer] reqs=8287 rows=8287 batches=654 avg_batch=12.7 batch_p50=13 batch_p95=17 batch_min=5 batch_max=21 forwards/s=130.8
[infer] reqs=8085 rows=8085 batches=639 avg_batch=12.7 batch_p50=13 batch_p95=18 batch_min=3 batch_max=22 forwards/s=127.8
[infer] reqs=8260 rows=8260 batches=650 avg_batch=12.7 batch_p50=13 batch_p95=18 batch_min=4 batch_max=21 forwards/s=130.0
[infer] reqs=8067 rows=8067 batches=637 avg_batch=12.7 batch_p50=13 batch_p95=17 batch_min=6 batch_max=19 forwards/s=127.4
