[infer] serving /data/share8/michaelvuaprilexperimentation/arc-bot/ml/experiments/v35-weco-recursive-autoresearch/league/rep-b/p30-credit025/checkpoints/main-0-gen8.pt (arc-entity-scorer-v2, obs_dim=3419, act_dim=104) on /dev/shm/arc-v35-development/rep-b-p30-credit025/infer.sock device=cuda window=2.0ms max_batch=512
[infer] reqs=2851 rows=2851 batches=241 avg_batch=11.8 batch_p50=11 batch_p95=19 batch_min=1 batch_max=23 forwards/s=48.2
[infer] reqs=7704 rows=7704 batches=616 avg_batch=12.5 batch_p50=13 batch_p95=18 batch_min=1 batch_max=20 forwards/s=123.2
[infer] reqs=8145 rows=8145 batches=641 avg_batch=12.7 batch_p50=13 batch_p95=17 batch_min=2 batch_max=20 forwards/s=128.2
[infer] reqs=8334 rows=8334 batches=642 avg_batch=13.0 batch_p50=13 batch_p95=18 batch_min=4 batch_max=21 forwards/s=128.4
[infer] reqs=8395 rows=8395 batches=645 avg_batch=13.0 batch_p50=13 batch_p95=17 batch_min=6 batch_max=20 forwards/s=129.0
[infer] reqs=8471 rows=8471 batches=645 avg_batch=13.1 batch_p50=13 batch_p95=18 batch_min=4 batch_max=21 forwards/s=129.0
[infer] reqs=8070 rows=8070 batches=642 avg_batch=12.6 batch_p50=13 batch_p95=17 batch_min=4 batch_max=20 forwards/s=128.4
[infer] reqs=8286 rows=8286 batches=644 avg_batch=12.9 batch_p50=13 batch_p95=17 batch_min=5 batch_max=20 forwards/s=128.8
[infer] reqs=8473 rows=8473 batches=643 avg_batch=13.2 batch_p50=13 batch_p95=18 batch_min=6 batch_max=21 forwards/s=128.6
[infer] reqs=8482 rows=8482 batches=646 avg_batch=13.1 batch_p50=13 batch_p95=17 batch_min=5 batch_max=21 forwards/s=129.2
[infer] reqs=8521 rows=8521 batches=650 avg_batch=13.1 batch_p50=13 batch_p95=17 batch_min=6 batch_max=20 forwards/s=130.0
[infer] reqs=8418 rows=8418 batches=649 avg_batch=13.0 batch_p50=13 batch_p95=17 batch_min=6 batch_max=19 forwards/s=129.8
[infer] reqs=8342 rows=8342 batches=645 avg_batch=12.9 batch_p50=13 batch_p95=17 batch_min=5 batch_max=21 forwards/s=129.0
[infer] reqs=8310 rows=8310 batches=650 avg_batch=12.8 batch_p50=13 batch_p95=18 batch_min=3 batch_max=22 forwards/s=130.0
[infer] reqs=8261 rows=8261 batches=648 avg_batch=12.7 batch_p50=13 batch_p95=16 batch_min=8 batch_max=18 forwards/s=129.6
[infer] reqs=8321 rows=8321 batches=646 avg_batch=12.9 batch_p50=13 batch_p95=18 batch_min=6 batch_max=21 forwards/s=129.2
[infer] reqs=8313 rows=8313 batches=646 avg_batch=12.9 batch_p50=13 batch_p95=17 batch_min=6 batch_max=20 forwards/s=129.2
[infer] reqs=8279 rows=8279 batches=642 avg_batch=12.9 batch_p50=13 batch_p95=17 batch_min=6 batch_max=20 forwards/s=128.4
[infer] reqs=7777 rows=7777 batches=615 avg_batch=12.6 batch_p50=13 batch_p95=17 batch_min=6 batch_max=20 forwards/s=123.0
[infer] reqs=7561 rows=7561 batches=602 avg_batch=12.6 batch_p50=13 batch_p95=17 batch_min=6 batch_max=19 forwards/s=120.4
[infer] reqs=7411 rows=7411 batches=591 avg_batch=12.5 batch_p50=13 batch_p95=17 batch_min=6 batch_max=19 forwards/s=118.2
[infer] reqs=7887 rows=7887 batches=617 avg_batch=12.8 batch_p50=13 batch_p95=17 batch_min=6 batch_max=20 forwards/s=123.4
[infer] reqs=7991 rows=7991 batches=635 avg_batch=12.6 batch_p50=13 batch_p95=18 batch_min=4 batch_max=21 forwards/s=127.0
[infer] reqs=7975 rows=7975 batches=625 avg_batch=12.8 batch_p50=13 batch_p95=16 batch_min=6 batch_max=18 forwards/s=125.0
[infer] reqs=7782 rows=7782 batches=620 avg_batch=12.6 batch_p50=13 batch_p95=18 batch_min=4 batch_max=20 forwards/s=124.0
[infer] reqs=7952 rows=7952 batches=627 avg_batch=12.7 batch_p50=13 batch_p95=16 batch_min=6 batch_max=18 forwards/s=125.4
[infer] reqs=7757 rows=7757 batches=614 avg_batch=12.6 batch_p50=13 batch_p95=17 batch_min=6 batch_max=20 forwards/s=122.8
