[infer] serving /data/share8/michaelvuaprilexperimentation/arc-bot/ml/experiments/v35-weco-recursive-autoresearch/league/rep-c/late-reweighted/checkpoints/main-0-gen8.pt (arc-entity-scorer-v2, obs_dim=3419, act_dim=104) on /dev/shm/arc-v35-development/rep-c-late-reweighted/infer.sock device=cuda window=2.0ms max_batch=512
[infer] reqs=2759 rows=2759 batches=234 avg_batch=11.8 batch_p50=12 batch_p95=16 batch_min=2 batch_max=22 forwards/s=46.8
[infer] reqs=6957 rows=6957 batches=569 avg_batch=12.2 batch_p50=12 batch_p95=17 batch_min=1 batch_max=23 forwards/s=113.8
[infer] reqs=7028 rows=7028 batches=575 avg_batch=12.2 batch_p50=12 batch_p95=18 batch_min=1 batch_max=21 forwards/s=115.0
[infer] reqs=7995 rows=7995 batches=625 avg_batch=12.8 batch_p50=13 batch_p95=16 batch_min=7 batch_max=19 forwards/s=125.0
[infer] reqs=7984 rows=7984 batches=624 avg_batch=12.8 batch_p50=13 batch_p95=17 batch_min=5 batch_max=20 forwards/s=124.8
[infer] reqs=7993 rows=7993 batches=627 avg_batch=12.7 batch_p50=13 batch_p95=16 batch_min=7 batch_max=18 forwards/s=125.4
[infer] reqs=8014 rows=8014 batches=628 avg_batch=12.8 batch_p50=13 batch_p95=18 batch_min=5 batch_max=21 forwards/s=125.6
[infer] reqs=8055 rows=8055 batches=629 avg_batch=12.8 batch_p50=13 batch_p95=16 batch_min=7 batch_max=19 forwards/s=125.8
[infer] reqs=8039 rows=8039 batches=628 avg_batch=12.8 batch_p50=13 batch_p95=17 batch_min=5 batch_max=22 forwards/s=125.6
[infer] reqs=7887 rows=7887 batches=620 avg_batch=12.7 batch_p50=13 batch_p95=17 batch_min=5 batch_max=20 forwards/s=124.0
[infer] reqs=7842 rows=7842 batches=612 avg_batch=12.8 batch_p50=13 batch_p95=17 batch_min=6 batch_max=19 forwards/s=122.4
[infer] reqs=8071 rows=8071 batches=625 avg_batch=12.9 batch_p50=13 batch_p95=17 batch_min=6 batch_max=19 forwards/s=125.0
[infer] reqs=7891 rows=7891 batches=628 avg_batch=12.6 batch_p50=13 batch_p95=15 batch_min=8 batch_max=18 forwards/s=125.6
[infer] reqs=7869 rows=7869 batches=618 avg_batch=12.7 batch_p50=13 batch_p95=17 batch_min=4 batch_max=21 forwards/s=123.6
[infer] reqs=7656 rows=7656 batches=602 avg_batch=12.7 batch_p50=13 batch_p95=17 batch_min=6 batch_max=19 forwards/s=120.4
[infer] reqs=7801 rows=7801 batches=610 avg_batch=12.8 batch_p50=13 batch_p95=16 batch_min=7 batch_max=18 forwards/s=122.0
[infer] reqs=7662 rows=7662 batches=599 avg_batch=12.8 batch_p50=13 batch_p95=17 batch_min=4 batch_max=21 forwards/s=119.8
[infer] reqs=7747 rows=7747 batches=602 avg_batch=12.9 batch_p50=13 batch_p95=17 batch_min=6 batch_max=19 forwards/s=120.4
[infer] reqs=7608 rows=7608 batches=587 avg_batch=13.0 batch_p50=13 batch_p95=17 batch_min=4 batch_max=21 forwards/s=117.4
[infer] reqs=7522 rows=7522 batches=594 avg_batch=12.7 batch_p50=13 batch_p95=17 batch_min=6 batch_max=20 forwards/s=118.8
[infer] reqs=8109 rows=8109 batches=624 avg_batch=13.0 batch_p50=13 batch_p95=17 batch_min=6 batch_max=19 forwards/s=124.8
[infer] reqs=8312 rows=8312 batches=630 avg_batch=13.2 batch_p50=13 batch_p95=18 batch_min=3 batch_max=22 forwards/s=126.0
[infer] reqs=7796 rows=7796 batches=621 avg_batch=12.6 batch_p50=13 batch_p95=17 batch_min=6 batch_max=19 forwards/s=124.2
[infer] reqs=8084 rows=8084 batches=626 avg_batch=12.9 batch_p50=13 batch_p95=18 batch_min=5 batch_max=20 forwards/s=125.2
[infer] reqs=7574 rows=7574 batches=608 avg_batch=12.5 batch_p50=12 batch_p95=18 batch_min=4 batch_max=20 forwards/s=121.6
[infer] reqs=7696 rows=7696 batches=615 avg_batch=12.5 batch_p50=13 batch_p95=16 batch_min=7 batch_max=17 forwards/s=123.0
[infer] reqs=7465 rows=7465 batches=602 avg_batch=12.4 batch_p50=12 batch_p95=17 batch_min=3 batch_max=21 forwards/s=120.4
[infer] reqs=7842 rows=7842 batches=630 avg_batch=12.4 batch_p50=13 batch_p95=17 batch_min=5 batch_max=20 forwards/s=126.0
[infer] reqs=7820 rows=7820 batches=630 avg_batch=12.4 batch_p50=12 batch_p95=16 batch_min=6 batch_max=19 forwards/s=126.0
[infer] reqs=7988 rows=7988 batches=628 avg_batch=12.7 batch_p50=13 batch_p95=17 batch_min=5 batch_max=19 forwards/s=125.6
[infer] reqs=8006 rows=8006 batches=631 avg_batch=12.7 batch_p50=13 batch_p95=17 batch_min=4 batch_max=21 forwards/s=126.2
[infer] reqs=8019 rows=8019 batches=633 avg_batch=12.7 batch_p50=13 batch_p95=17 batch_min=5 batch_max=21 forwards/s=126.6
[infer] reqs=7968 rows=7968 batches=629 avg_batch=12.7 batch_p50=13 batch_p95=16 batch_min=6 batch_max=19 forwards/s=125.8
[infer] reqs=7825 rows=7825 batches=628 avg_batch=12.5 batch_p50=12 batch_p95=16 batch_min=6 batch_max=19 forwards/s=125.6
[infer] reqs=7977 rows=7977 batches=636 avg_batch=12.5 batch_p50=13 batch_p95=17 batch_min=5 batch_max=20 forwards/s=127.2
[infer] reqs=7960 rows=7960 batches=635 avg_batch=12.5 batch_p50=12 batch_p95=17 batch_min=4 batch_max=20 forwards/s=127.0
[infer] reqs=7883 rows=7883 batches=627 avg_batch=12.6 batch_p50=13 batch_p95=16 batch_min=7 batch_max=19 forwards/s=125.4
[infer] reqs=7938 rows=7938 batches=616 avg_batch=12.9 batch_p50=13 batch_p95=17 batch_min=7 batch_max=20 forwards/s=123.2
[infer] reqs=8073 rows=8073 batches=629 avg_batch=12.8 batch_p50=13 batch_p95=18 batch_min=3 batch_max=21 forwards/s=125.8
[infer] reqs=8178 rows=8178 batches=633 avg_batch=12.9 batch_p50=13 batch_p95=18 batch_min=3 batch_max=23 forwards/s=126.6
[infer] reqs=8004 rows=8004 batches=628 avg_batch=12.7 batch_p50=13 batch_p95=16 batch_min=7 batch_max=19 forwards/s=125.6
[infer] reqs=7989 rows=7989 batches=629 avg_batch=12.7 batch_p50=13 batch_p95=16 batch_min=6 batch_max=18 forwards/s=125.8
[infer] reqs=7991 rows=7991 batches=625 avg_batch=12.8 batch_p50=13 batch_p95=18 batch_min=6 batch_max=21 forwards/s=125.0
[infer] reqs=8102 rows=8102 batches=634 avg_batch=12.8 batch_p50=13 batch_p95=17 batch_min=5 batch_max=20 forwards/s=126.8
[infer] reqs=8036 rows=8036 batches=634 avg_batch=12.7 batch_p50=13 batch_p95=17 batch_min=7 batch_max=19 forwards/s=126.8
[infer] reqs=7975 rows=7975 batches=632 avg_batch=12.6 batch_p50=13 batch_p95=16 batch_min=8 batch_max=19 forwards/s=126.4
[infer] reqs=8026 rows=8026 batches=628 avg_batch=12.8 batch_p50=13 batch_p95=18 batch_min=4 batch_max=21 forwards/s=125.6
[infer] reqs=7995 rows=7995 batches=635 avg_batch=12.6 batch_p50=13 batch_p95=17 batch_min=4 batch_max=20 forwards/s=127.0
[infer] reqs=8031 rows=8031 batches=627 avg_batch=12.8 batch_p50=13 batch_p95=18 batch_min=5 batch_max=20 forwards/s=125.4
[infer] reqs=8022 rows=8022 batches=632 avg_batch=12.7 batch_p50=13 batch_p95=18 batch_min=4 batch_max=21 forwards/s=126.4
[infer] reqs=7957 rows=7957 batches=621 avg_batch=12.8 batch_p50=13 batch_p95=17 batch_min=6 batch_max=19 forwards/s=124.2
[infer] reqs=8106 rows=8106 batches=630 avg_batch=12.9 batch_p50=13 batch_p95=17 batch_min=6 batch_max=20 forwards/s=126.0
[infer] reqs=7763 rows=7763 batches=614 avg_batch=12.6 batch_p50=13 batch_p95=18 batch_min=4 batch_max=20 forwards/s=122.8
[infer] reqs=7572 rows=7572 batches=596 avg_batch=12.7 batch_p50=13 batch_p95=16 batch_min=8 batch_max=18 forwards/s=119.2
[infer] reqs=7821 rows=7821 batches=617 avg_batch=12.7 batch_p50=13 batch_p95=16 batch_min=6 batch_max=19 forwards/s=123.4
[infer] reqs=7920 rows=7920 batches=626 avg_batch=12.7 batch_p50=13 batch_p95=18 batch_min=5 batch_max=21 forwards/s=125.2
[infer] reqs=8128 rows=8128 batches=634 avg_batch=12.8 batch_p50=13 batch_p95=17 batch_min=5 batch_max=20 forwards/s=126.8
[infer] reqs=7898 rows=7898 batches=627 avg_batch=12.6 batch_p50=13 batch_p95=17 batch_min=6 batch_max=19 forwards/s=125.4
[infer] shut down
