[infer] serving /data/share8/michaelvuaprilexperimentation/arc-bot/ml/experiments/v35-weco-recursive-autoresearch/league/rep-c/p30-credit025/checkpoints/main-0-gen8.pt (arc-entity-scorer-v2, obs_dim=3419, act_dim=104) on /dev/shm/arc-v35-development/rep-c-p30-credit025/infer.sock device=cuda window=2.0ms max_batch=512
[infer] reqs=1602 rows=1602 batches=139 avg_batch=11.5 batch_p50=11 batch_p95=17 batch_min=1 batch_max=23 forwards/s=27.8
[infer] reqs=7595 rows=7595 batches=608 avg_batch=12.5 batch_p50=12 batch_p95=17 batch_min=4 batch_max=21 forwards/s=121.6
[infer] reqs=7941 rows=7941 batches=624 avg_batch=12.7 batch_p50=13 batch_p95=17 batch_min=1 batch_max=21 forwards/s=124.8
[infer] reqs=8199 rows=8199 batches=640 avg_batch=12.8 batch_p50=13 batch_p95=18 batch_min=5 batch_max=20 forwards/s=128.0
[infer] reqs=8419 rows=8419 batches=641 avg_batch=13.1 batch_p50=13 batch_p95=18 batch_min=5 batch_max=21 forwards/s=128.2
[infer] reqs=8397 rows=8397 batches=640 avg_batch=13.1 batch_p50=13 batch_p95=18 batch_min=5 batch_max=21 forwards/s=128.0
[infer] reqs=8237 rows=8237 batches=635 avg_batch=13.0 batch_p50=13 batch_p95=17 batch_min=7 batch_max=20 forwards/s=127.0
[infer] reqs=8175 rows=8175 batches=634 avg_batch=12.9 batch_p50=13 batch_p95=17 batch_min=7 batch_max=20 forwards/s=126.8
[infer] reqs=7973 rows=7973 batches=634 avg_batch=12.6 batch_p50=13 batch_p95=16 batch_min=7 batch_max=18 forwards/s=126.8
[infer] reqs=8093 rows=8093 batches=636 avg_batch=12.7 batch_p50=13 batch_p95=17 batch_min=6 batch_max=19 forwards/s=127.2
[infer] reqs=8224 rows=8224 batches=637 avg_batch=12.9 batch_p50=13 batch_p95=17 batch_min=4 batch_max=20 forwards/s=127.4
[infer] reqs=8104 rows=8104 batches=636 avg_batch=12.7 batch_p50=13 batch_p95=17 batch_min=6 batch_max=19 forwards/s=127.2
